order_id,customer_id,order_date,status
1,9,2026-04-10 16:42:29.177278,Shipped
2,3,2024-12-09 14:21:34.852922,Shipped
3,11,2024-04-18 00:52:02.299857,Processing
4,13,2024-12-30 02:36:32.353626,Pending
5,5,2024-11-02 05:51:49.385310,Pending
6,18,2024-08-27 06:48:40.079053,Delivered
7,5,2026-06-13 23:10:29.137986,Processing
8,20,2025-08-15 23:09:43.025996,Shipped
9,13,2025-06-18 05:40:57.102480,Delivered
10,18,2025-02-10 13:42:21.243572,Delivered
11,18,2024-07-31 22:38:51.728574,Processing
12,17,2026-03-30 20:14:56.688154,Delivered
13,2,2025-08-05 04:55:34.400108,Delivered
14,8,2023-11-05 04:05:55.503210,Delivered
15,20,2024-01-10 05:00:28.538494,Pending
16,10,2026-07-08 11:36:01.965589,Pending
17,19,2024-11-14 13:36:59.201812,Processing
18,4,2025-11-17 02:41:48.777488,Cancelled
19,2,2026-03-02 18:33:52.694895,Shipped
20,9,2025-01-23 05:15:20.876472,Shipped
21,10,2026-07-13 04:26:55.120740,Shipped
22,4,2024-05-24 22:13:57.963300,Processing
23,16,2025-09-26 19:21:50.577957,Delivered
24,16,2026-01-21 00:58:51.804615,Processing
25,6,2026-02-02 19:52:09.084426,Processing
26,18,2026-06-10 13:48:38.818116,Pending
27,11,2024-02-13 15:36:48.744410,Processing
28,19,2023-10-21 21:00:14.618232,Processing
29,11,2025-02-11 07:37:39.114747,Processing
30,1,2023-11-27 10:37:36.375108,Pending
31,8,2024-12-01 02:10:07.206348,Delivered
32,18,2023-12-11 09:57:08.133401,Cancelled
33,4,2024-06-16 06:23:05.405707,Pending
34,7,2025-01-08 00:47:20.115826,Delivered
35,15,2024-12-19 10:46:50.253485,Pending
36,10,2025-03-11 20:48:45.099239,Processing
37,5,2024-04-05 13:37:16.475582,Shipped
38,10,2025-12-30 19:34:10.206701,Pending
39,7,2026-03-08 17:12:55.063603,Processing
40,1,2023-08-23 00:30:15.308784,Processing
41,8,2024-11-15 21:51:09.547095,Shipped
42,13,2023-08-22 03:58:53.762376,Delivered
43,19,2024-07-19 19:51:36.824040,Shipped
44,4,2023-11-28 12:09:02.806653,Delivered
45,14,2023-10-21 17:46:53.757321,Cancelled
46,13,2024-03-29 04:06:01.519903,Processing
47,12,2026-05-30 02:14:08.482792,Pending
48,13,2024-07-01 00:30:24.421242,Shipped
49,8,2023-11-10 05:58:28.684829,Shipped
50,17,2024-04-30 21:49:41.568361,Processing
51,9,2025-11-15 06:34:36.234023,Processing
52,12,2026-04-30 09:45:40.022724,Delivered
53,5,2025-05-15 02:21:33.377383,Pending
54,7,2025-09-09 07:12:07.023569,Delivered
55,1,2026-08-05 15:15:25.369795,Delivered
56,2,2024-01-13 04:53:12.799464,Cancelled
57,20,2024-03-11 08:53:41.441461,Shipped
58,16,2026-04-12 12:34:09.570332,Pending
59,3,2025-08-27 15:23:17.421271,Pending
60,7,2024-02-07 02:15:40.800676,Cancelled
61,13,2024-05-24 05:55:33.630205,Cancelled
62,6,2026-04-19 09:10:45.236319,Shipped
63,8,2025-03-05 19:41:53.966883,Pending
64,18,2023-11-01 12:44:39.353457,Processing
65,19,2024-04-19 22:06:46.507639,Delivered
66,11,2025-09-15 02:12:48.014464,Shipped
67,8,2025-12-15 08:30:26.294596,Delivered
68,3,2024-05-08 02:21:29.671534,Shipped
69,6,2026-05-31 12:37:19.438774,Shipped
70,9,2024-04-26 22:42:00.797162,Processing
71,13,2026-06-26 13:03:38.813274,Delivered
72,17,2026-05-03 22:06:11.659890,Processing
73,13,2024-06-10 10:44:09.877741,Delivered
74,13,2026-06-16 14:35:06.144181,Pending
75,15,2026-07-15 03:52:42.717769,Shipped
76,20,2025-03-12 11:33:45.491474,Pending
77,18,2023-12-30 17:21:43.064270,Pending
78,16,2024-01-05 20:00:50.611365,Processing
79,20,2024-01-27 10:20:43.463658,Processing
80,15,2023-11-05 01:45:42.374821,Pending
81,1,2026-07-21 00:04:55.371986,Processing
82,13,2024-08-03 02:26:05.958400,Delivered
83,17,2025-03-05 07:11:15.817271,Delivered
84,9,2026-08-12 10:58:08.677176,Cancelled
85,10,2024-07-11 12:20:28.011116,Processing
86,9,2026-02-27 18:59:09.159231,Processing
87,5,2025-09-07 15:33:53.620753,Pending
88,5,2026-06-08 00:45:24.324673,Pending
89,10,2026-01-30 02:37:59.173925,Cancelled
90,20,2025-03-23 12:02:21.493084,Shipped
91,10,2024-01-23 12:08:42.376066,Pending
92,17,2024-09-30 07:05:40.194687,Processing
93,8,2024-06-01 19:05:08.187449,Processing
94,16,2023-10-11 09:56:45.727878,Processing
95,17,2023-11-10 11:03:52.143968,Processing
96,3,2026-02-13 03:09:05.266261,Cancelled
97,8,2025-04-28 21:19:06.125917,Pending
98,13,2025-12-27 16:03:06.160761,Processing
99,8,2025-12-12 17:21:20.581046,Delivered
100,15,2025-09-02 00:44:33.576242,Pending
